president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Joseph R. Biden Jr.,All polls,10/21/2021,1/25/2021,1/27/2021,Morning Consult,B,15000,a,.17323649,0,54,31,52.4994,34.234009,"",T,https://morningconsult.com/form/global-leader-approval/,74277,139497,1/28/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/24/2021,1/27/2021,Marist College,A,1313,a,2.1893262,0,49,35,50.000691,34.793879,"","",http://maristpoll.marist.edu/wp-content/uploads/2021/02/Marist-Poll_USA-NOS-and-Tables_202101281213-1.pdf#page=3,74320,139558,2/1/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/25/2021,1/26/2021,Morning Consult,B,2200,a,.07622406,0,58,32,56.4994,35.234009,"","",https://assets.morningconsult.com/wp-uploads/2021/02/04174538/210179_crosstabs_MC_SPORTS_PRESUPER_BOWL_Adults_v3.pdf,74346,139653,2/5/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/26/2021,1/28/2021,Morning Consult,B,9211.5,a,.10327276,0,55,31.5,53.4994,34.734009,*,T,https://int.nyt.com/data/documenttools/ben-smith-poll/967c3e3a09403867/full.pdf,74292,139518,2/1/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/26/2021,1/28/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.240225,0,50,45,52.390734,38.763284,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74290,139515,1/29/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/21/2021,2/2/2021,Gallup,B+,906,a,1.3147066,0,57,37,56.545847,36.168149,"","",https://news.gallup.com/poll/329348/biden-begins-term-job-approval.aspx,74344,139651,2/4/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/27/2021,1/29/2021,Morning Consult,B,15000,a,.1635707,0,54,32,52.4994,35.234009,"",T,https://morningconsult.com/form/global-leader-approval/,74339,139644,2/4/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/27/2021,1/28/2021,Morning Consult,B,2200,a,.07197111,0,56,33,54.4994,36.234009,"","",https://assets.morningconsult.com/wp-uploads/2021/02/12185159/210193_crosstabs_MC_ENERGY_Adults_v2.pdf,74378,139765,2/15/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/27/2021,1/29/2021,IBD/TIPP,A+,1261,a,2.3554725,0,53,29,53.32962,33.311086,"","",https://www.investors.com/politics/joe-biden-job-approval-enjoys-honeymoon-vs-donald-trump-ibd-tipp-poll/,74321,139560,2/1/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/28/2021,1/30/2021,Morning Consult,B,6466.67,a,.06920226,0,55.333333,33,53.832733,36.234009,*,T,https://assets.morningconsult.com/wp-uploads/2021/02/01222231/2101102_crosstabs_MC_TECH_QANON_Adults_v1.pdf,74323,139563,2/2/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/29/2021,1/29/2021,John Zogby Strategies/EMI Research Solutions,B/C,841,lv,1.1150749,0,56.1,36.4,54.519312,37.007756,"","",https://johnzogbystrategies.com/wp-content/uploads/2021/02/Crosstabs-Voters-012921.pdf,74326,139569,2/2/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/28/2021,1/29/2021,HarrisX,B+,945,rv,.89467309,0,61,39,56.654705,40.046383,"","",https://thehill.com/hilltv/what-americas-thinking/536809-poll-biden-approval-dips-to-61-percent,74322,139562,2/1/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/28/2021,1/30/2021,RMG Research,B-,1200,rv,.73682805,0,58,35,56.792526,36.115065,"","",https://scottrasmussen.com/biden-job-approval-60/,74355,139680,2/9/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/27/2021,1/31/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.13780096,0,49,46,51.390734,39.763284,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74293,139520,2/1/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/28/2021,2/1/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.40436588,0,51,45,53.390734,38.763284,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74325,139568,2/2/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/27/2021,2/1/2021,Global Strategy Group/GBAO (Navigator Research),B/C,1005,rv,.91595682,0,53,39,52.431397,38.102297,"","",https://navigatorresearch.org/wp-content/uploads/2021/02/Navigator-Topline-02.02.21.pdf,74324,139564,2/2/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/29/2021,1/31/2021,Morning Consult,B,15000,a,.15754725,0,54,33,52.4994,36.234009,"",T,https://morningconsult.com/form/global-leader-approval/,74340,139646,2/4/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/28/2021,2/1/2021,Quinnipiac University,A-,1075,a,1.5324899,0,49,36,51.762425,35.438085,"","",https://poll.qu.edu/poll-release?releaseid=3766,74334,139617,2/3/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/28/2021,2/1/2021,AP-NORC,"",1055,a,1.4270642,0,61,38,57.384562,38.310216,"","",https://apnorc.org/wp-content/uploads/2021/02/Biden-topline.pdf,74336,139629,2/4/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/29/2021,2/1/2021,Morning Consult,B,2200,a,.06837024,0,57,33,55.4994,36.234009,"","",https://assets.morningconsult.com/wp-uploads/2021/02/03174029/2101105_crosstabs_MC_FINANCE_Adults_v1.pdf,74375,139762,2/15/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/30/2021,2/1/2021,Morning Consult,B,15000,a,.15538692,0,54,33,52.4994,36.234009,"",T,https://morningconsult.com/form/global-leader-approval/,74331,139647,2/4/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/29/2021,2/1/2021,Morning Consult,B,1986,rv,.06171968,0,58,35,56.4994,38.234009,"","",https://assets.morningconsult.com/wp-uploads/2021/02/03074817/2101110_crosstabs_POLITICO_RVs_v1.pdf,74330,139576,2/3/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/31/2021,2/2/2021,YouGov,B+,1500,a,.9211317,0,46,38,47.359575,38.478771,"","",https://docs.cdn.yougov.com/460mactkmh/econTabReport.pdf,74332,139593,2/3/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/31/2021,2/2/2021,Morning Consult,B,15000,a,.15461946,0,54,33,52.4994,36.234009,"",T,https://morningconsult.com/form/global-leader-approval/,74341,139648,2/4/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/31/2021,2/2/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.21940877,0,51,47,53.390734,40.763284,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74333,139595,2/3/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/1/2021,2/3/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.21793511,0,52,46,54.390734,39.763284,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74338,139642,2/4/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/1/2021,2/3/2021,Morning Consult,B,15000,a,.15385798,0,54,33,52.4994,36.234009,"",T,https://morningconsult.com/form/global-leader-approval/,74366,139733,2/11/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/2/2021,2/4/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.21648187,0,49,48,51.390734,41.763284,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74347,139654,2/5/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/2/2021,2/3/2021,Emerson College,A-,1429,a,2.0759934,0,49,39,50.012205,39.046077,"","",https://emersonpolling.reportablenews.com/pr/february-national-poll-america-giving-biden-a-chance-split-on-trump-impeachment,74348,139668,2/5/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/2/2021,2/3/2021,Ipsos,B-,1005,a,.80586255,0,57,34,55.816283,34.975794,"","",https://www.ipsos.com/sites/default/files/ct/news/documents/2021-02/2021_reuters_tracking_-_core_political_presidential_approval_tracker_02_04_2021_0.pdf,74345,139652,2/4/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/2/2021,2/4/2021,Morning Consult,B,15000,a,.15330618,0,54,34,52.4994,37.234009,"",T,https://morningconsult.com/form/global-leader-approval/,74367,139734,2/11/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/3/2021,2/5/2021,Morning Consult,B,15000,a,.1522979,0,54,34,52.4994,37.234009,"",T,https://morningconsult.com/form/global-leader-approval/,74368,139735,2/11/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/4/2021,2/6/2021,RMG Research,B-,1200,rv,.69621914,0,60,32,58.792526,33.115065,"","",https://scottrasmussen.com/biden-job-approval-60/,74354,139679,2/9/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/3/2021,2/7/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.1281564,0,50,47,52.390734,40.763284,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74349,139669,2/8/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/4/2021,2/6/2021,Morning Consult,B,15000,a,.15071373,0,54,34,52.4994,37.234009,"",T,https://morningconsult.com/form/global-leader-approval/,74369,139736,2/11/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/5/2021,2/7/2021,Morning Consult,B,1986,rv,.05930054,0,59,35,57.4994,38.234009,"","",https://assets.morningconsult.com/wp-uploads/2021/02/11080445/210227_crosstabs_POLITICO_RVs_v1_AUTO.pdf,74351,139673,2/8/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/4/2021,2/8/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.38029845,0,51,46,53.390734,39.763284,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74352,139675,2/9/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/5/2021,2/7/2021,Morning Consult,B,15000,a,.14929642,0,55,33,53.4994,36.234009,"",T,https://morningconsult.com/form/global-leader-approval/,74372,139746,2/11/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/6/2021,2/8/2021,Morning Consult,B,15000,a,.14832769,0,55,33,53.4994,36.234009,"",T,https://morningconsult.com/form/global-leader-approval/,74370,139738,2/11/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/5/2021,2/8/2021,YouGov,B+,2508,a,1.3288424,0,61,39,62.359575,39.478771,"","",https://www.cbsnews.com/news/covid-relief-opinion-poll/,74357,139683,2/9/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/7/2021,2/9/2021,Morning Consult,B,15000,a,.14761688,0,55,33,53.4994,36.234009,"",T,https://morningconsult.com/form/global-leader-approval/,74371,139739,2/11/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/7/2021,2/9/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20929771,0,51,47,53.390734,40.763284,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74359,139696,2/10/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/6/2021,2/9/2021,YouGov,B+,1500,a,.79866219,0,50,37,51.359575,37.478771,"","",https://docs.cdn.yougov.com/rqqxdo2ujy/econTabReport.pdf,74360,139697,2/10/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/8/2021,2/9/2021,HarrisX,B+,938,rv,.61458253,0,60,40,55.654705,41.046383,"","",https://thehill.com/hilltv/what-americas-thinking/538612-what-americas-thinking-february-12-2021,74374,139761,2/12/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/8/2021,2/10/2021,Morning Consult,B,15000,a,.14684007,0,55,33,53.4994,36.234009,"",T,https://morningconsult.com/form/global-leader-approval/,74389,139832,2/18/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/8/2021,2/10/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20928828,0,50,47,52.390734,40.763284,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74362,139720,2/11/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/9/2021,2/11/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20920552,0,52,45,54.390734,38.763284,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74373,139760,2/12/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/9/2021,2/11/2021,Morning Consult,B,15000,a,.14631607,0,55,33,53.4994,36.234009,"",T,https://morningconsult.com/form/global-leader-approval/,74390,139833,2/18/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/9/2021,2/10/2021,Ipsos,B-,1001,a,.73235578,0,57,35,55.816283,35.975794,"","",https://www.ipsos.com/en-us/reutersipsos-core-political-survey-presidential-approval-tracker-02102021,74361,139719,2/10/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/3/2021,2/18/2021,Gallup,B+,1021,a,1.4180286,0,56,40,55.545847,39.168149,"","",https://news.gallup.com/poll/329948/biden-gets-high-marks-covid-response.aspx,74402,139858,2/22/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/7/2021,2/14/2021,Saint Leo University,C/D,1000,a,.80855287,0,60.9,32.3,58.959433,34.127471,"","",https://polls.saintleo.edu/new-saint-leo-polling-survey-shows-six-out-of-10-americans-like-bidens-job-performance-so-far/,74408,139905,2/24/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/10/2021,2/12/2021,Morning Consult,B,15000,a,.14566851,0,55,33,53.4994,36.234009,"",T,https://morningconsult.com/form/global-leader-approval/,74391,139834,2/18/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/11/2021,2/13/2021,Morning Consult,B,15000,a,.1446306,0,55,34,53.4994,37.234009,"",T,https://morningconsult.com/form/global-leader-approval/,74392,139835,2/18/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/11/2021,2/13/2021,RMG Research,B-,1200,rv,.68602173,0,57,35,55.792526,36.115065,"","",https://scottrasmussen.com/biden-job-approval-rating-at-56/,74411,139908,2/24/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/10/2021,2/14/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.12516127,0,53,43,55.390734,36.763284,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74379,139766,2/15/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/11/2021,2/15/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.37310398,0,53,44,55.390734,37.763284,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74381,139772,2/16/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/12/2021,2/14/2021,Morning Consult,B,15000,a,.14371289,0,54,34,52.4994,37.234009,"",T,https://morningconsult.com/form/global-leader-approval/,74393,139836,2/18/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/11/2021,2/14/2021,Quinnipiac University,A-,1056,a,1.5112685,0,50,38,52.762425,37.438085,"","",https://poll.qu.edu/poll-release?releaseid=3768,74387,139830,2/17/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/11/2021,2/15/2021,Global Strategy Group/GBAO (Navigator Research),B/C,1067,rv,.86322248,0,56,38,55.431397,37.102297,"","",https://navigatorresearch.org/wp-content/uploads/2021/02/Navigator-Toplines-02.16.2021.pdf,74383,139794,2/17/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/13/2021,2/15/2021,Morning Consult,B,15000,a,.14287877,0,54,34,52.4994,37.234009,"",T,https://morningconsult.com/form/global-leader-approval/,74394,139837,2/18/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/12/2021,2/15/2021,HarrisX,B+,2835,rv,1.5241281,0,59,41,54.654705,42.046383,"","",https://thehill.com/hilltv/what-americas-thinking/539464-what-americas-thinking-february-19-2021,74398,139853,2/19/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/12/2021,2/15/2021,Morning Consult,B,1987,rv,.05678002,0,56,38,54.4994,41.234009,"","",https://www.politico.com/f/?id=00000177-abaf-d644-a377-efbf5b3e0000,74384,139795,2/17/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/12/2021,2/15/2021,Morning Consult,B,3300,a,.09429999,0,56,34.5,54.4994,37.734009,*,"",https://assets.morningconsult.com/wp-uploads/2021/02/24152659/210264_crosstabs_MC_TECH_SPACE_Adults_v1_AUTO.pdf,74415,139933,2/25/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/14/2021,2/15/2021,Morning Consult,B,1984,rv,.05687776,0,62,33,60.4994,36.234009,"","",https://www.politico.com/f/?id=00000177-a857-d644-a377-eedf501c0000,74380,139771,2/16/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/13/2021,2/16/2021,YouGov,B+,1500,a,.84436013,0,54,37,55.359575,37.478771,"","",https://docs.cdn.yougov.com/3at75tb28w/econTabReport.pdf,74386,139811,2/17/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/14/2021,2/16/2021,Morning Consult,B,15000,a,.14334112,0,54,34,52.4994,37.234009,"",T,https://morningconsult.com/form/global-leader-approval/,74395,139838,2/18/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/12/2021,2/18/2021,Echelon Insights,B/C,1005,rv,1.1872816,0,51,42,50.094809,41.557637,"","",https://echeloninsights.com/in-the-news/february-omnibus-political-update/,74400,139859,2/22/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/14/2021,2/16/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20663741,0,50,47,52.390734,40.763284,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74385,139810,2/17/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/15/2021,2/17/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20711441,0,50,48,52.390734,41.763284,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74388,139831,2/18/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/15/2021,2/17/2021,Morning Consult,B,15000,a,.14439795,0,54,35,52.4994,38.234009,"",T,https://morningconsult.com/form/global-leader-approval/,74417,139936,2/25/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/16/2021,2/18/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.20735107,0,49,49,51.390734,42.763284,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74397,139840,2/19/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,2/16/2021,2/18/2021,Morning Consult,B,15000,a,.14552968,0,54,35,52.4994,38.234009,"",T,https://morningconsult.com/form/global-leader-approval/,74418,139937,2/25/2021,12:10:12 21 Oct 2021
